Fri Dec  9 10:56:02 2022    async

         1084106 function calls (1058191 primitive calls) in 43.945 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28   41.216    1.472   41.216    1.472 {method 'acquire' of '_thread.lock' objects}
        6    0.000    0.000   40.169    6.695 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\threading.py:556(wait)
        6    0.000    0.000   40.168    6.695 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\threading.py:280(wait)
        1    0.000    0.000   39.829   39.829 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\pool.py:359(map)
        1    0.000    0.000   39.829   39.829 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\pool.py:764(get)
        1    0.000    0.000   39.829   39.829 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\pool.py:761(wait)
        1    0.000    0.000    1.449    1.449 C:\Users\anony\Balaba\statistics.py:341(generate_image)
        1    0.000    0.000    1.314    1.314 C:\Users\anony\Balaba\statistics.py:488(generate_pdf)
        1    0.000    0.000    1.255    1.255 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\context.py:115(Pool)
        1    0.000    0.000    1.227    1.227 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\pool.py:183(__init__)
        1    0.000    0.000    1.188    1.188 C:\Users\anony\Balaba\venv\lib\site-packages\pdfkit\api.py:54(from_string)
        1    0.000    0.000    1.187    1.187 C:\Users\anony\Balaba\venv\lib\site-packages\pdfkit\pdfkit.py:160(to_pdf)
        1    0.000    0.000    1.129    1.129 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\subprocess.py:1090(communicate)
        1    0.000    0.000    1.121    1.121 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\subprocess.py:1483(_communicate)
        2    0.000    0.000    1.048    0.524 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\threading.py:1021(join)
        2    0.000    0.000    1.048    0.524 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\threading.py:1059(_wait_for_tstate_lock)
        1    0.000    0.000    0.881    0.881 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\pool.py:302(_repopulate_pool)
        1    0.001    0.001    0.881    0.881 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\pool.py:311(_repopulate_pool_static)
       24    0.000    0.000    0.878    0.037 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:110(start)
       25    0.876    0.035    0.877    0.035 {built-in method _winapi.CreateProcess}
       24    0.001    0.000    0.875    0.036 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\context.py:324(_Popen)
       24    0.002    0.000    0.870    0.036 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\popen_spawn_win32.py:44(__init__)
        1    0.000    0.000    0.713    0.713 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\pyplot.py:955(savefig)
        3    0.000    0.000    0.658    0.219 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backends\backend_agg.py:429(draw)
        2    0.000    0.000    0.656    0.328 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:71(draw_wrapper)
   1220/2    0.006    0.000    0.656    0.328 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:32(draw_wrapper)
        2    0.000    0.000    0.656    0.328 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\figure.py:2786(draw)
     10/2    0.001    0.000    0.652    0.326 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
        8    0.000    0.000    0.652    0.081 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:3013(draw)
    26/24    0.000    0.000    0.389    0.016 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\_api\deprecation.py:381(wrapper)
        2    0.000    0.000    0.384    0.192 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backend_bases.py:1595(wrapper)
        2    0.000    0.000    0.382    0.191 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backends\backend_agg.py:490(print_png)
        1    0.000    0.000    0.382    0.382 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\figure.py:2896(savefig)
        1    0.000    0.000    0.382    0.382 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backend_bases.py:2192(print_figure)
       16    0.001    0.000    0.379    0.024 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1150(draw)
        5    0.000    0.000    0.341    0.068 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\threading.py:873(start)
        1    0.000    0.000    0.331    0.331 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backend_bases.py:2045(draw_idle)
        1    0.000    0.000    0.331    0.331 C:\Program Files\JetBrains\PyCharm 2021.3.2\plugins\python\helpers\pycharm_matplotlib_backend\backend_interagg.py:93(draw)
