Fri Dec  9 10:54:53 2022    concur

         1072955 function calls (1047034 primitive calls) in 37.555 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       33   35.085    1.063   35.085    1.063 {method 'acquire' of '_thread.lock' objects}
        3    0.000    0.000   35.082   11.694 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\threading.py:1021(join)
        3    0.000    0.000   35.082   11.694 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\threading.py:1059(_wait_for_tstate_lock)
        1    0.000    0.000   34.194   34.194 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\concurrent\futures\_base.py:636(__exit__)
        1    0.000    0.000   34.194   34.194 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\concurrent\futures\process.py:731(shutdown)
        1    0.000    0.000    1.756    1.756 C:\Users\anony\Balaba\statistics.py:341(generate_image)
        1    0.000    0.000    1.258    1.258 C:\Users\anony\Balaba\statistics.py:488(generate_pdf)
        1    0.000    0.000    1.119    1.119 C:\Users\anony\Balaba\venv\lib\site-packages\pdfkit\api.py:54(from_string)
        1    0.000    0.000    1.118    1.118 C:\Users\anony\Balaba\venv\lib\site-packages\pdfkit\pdfkit.py:160(to_pdf)
        1    0.000    0.000    1.012    1.012 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\subprocess.py:1090(communicate)
        1    0.000    0.000    1.006    1.006 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\subprocess.py:1483(_communicate)
        1    0.000    0.000    0.795    0.795 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\pyplot.py:955(savefig)
        3    0.000    0.000    0.721    0.240 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backends\backend_agg.py:429(draw)
        2    0.000    0.000    0.718    0.359 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:71(draw_wrapper)
   1220/2    0.007    0.000    0.718    0.359 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:32(draw_wrapper)
        2    0.000    0.000    0.718    0.359 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\figure.py:2786(draw)
     10/2    0.001    0.000    0.713    0.356 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
        8    0.000    0.000    0.712    0.089 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:3013(draw)
    26/24    0.000    0.000    0.453    0.019 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\_api\deprecation.py:381(wrapper)
        2    0.000    0.000    0.447    0.224 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backend_bases.py:1595(wrapper)
        2    0.000    0.000    0.445    0.223 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backends\backend_agg.py:490(print_png)
        1    0.000    0.000    0.445    0.445 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\figure.py:2896(savefig)
        1    0.000    0.000    0.445    0.445 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backend_bases.py:2192(print_figure)
        1    0.000    0.000    0.404    0.404 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\figure.py:3162(tight_layout)
       16    0.001    0.000    0.401    0.025 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1150(draw)
        1    0.000    0.000    0.397    0.397 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\tight_layout.py:251(get_tight_layout_figure)
        1    0.001    0.001    0.395    0.395 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\tight_layout.py:19(_auto_adjust_subplotpars)
        4    0.002    0.000    0.392    0.098 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:4561(get_tightbbox)
        1    0.000    0.000    0.350    0.350 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backend_bases.py:2045(draw_idle)
        1    0.000    0.000    0.350    0.350 C:\Program Files\JetBrains\PyCharm 2021.3.2\plugins\python\helpers\pycharm_matplotlib_backend\backend_interagg.py:93(draw)
      677    0.020    0.000    0.348    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\text.py:290(_get_layout)
      495    0.009    0.000    0.331    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\text.py:872(get_window_extent)
      681    0.279    0.000    0.279    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      493    0.004    0.000    0.276    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backends\backend_agg.py:251(get_text_width_height_descent)
        9    0.275    0.031    0.275    0.031 {built-in method _winapi.CreateProcess}
      370    0.010    0.000    0.267    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\text.py:671(draw)
       48    0.000    0.000    0.249    0.005 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1083(_get_tick_bboxes)
       48    0.001    0.000    0.248    0.005 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1085(<listcomp>)
        6    0.000    0.000    0.222    0.037 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\__init__.py:1409(inner)
        8    0.000    0.000    0.213    0.027 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1090(get_tightbbox)
        1    0.000    0.000    0.208    0.208 C:\Users\anony\Balaba\concur.py:38(<listcomp>)
       16    0.005    0.000    0.208    0.013 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\concurrent\futures\process.py:678(submit)
      136    0.002    0.000    0.206    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:291(draw)
       16    0.000    0.000    0.198    0.012 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\concurrent\futures\process.py:662(_adjust_process_count)
        8    0.000    0.000    0.197    0.025 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:110(start)
        8    0.000    0.000    0.196    0.025 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\context.py:324(_Popen)
        8    0.001    0.000    0.192    0.024 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\multiprocessing\popen_spawn_win32.py:44(__init__)
       56    0.001    0.000    0.183    0.003 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1368(get_major_ticks)
       24    0.000    0.000    0.169    0.007 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1860(_get_tick_boxes_siblings)
       86    0.006    0.000    0.168    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:57(__init__)
