name,salary_from,salary_to,salary_currency,area_name,published_at
Тестировщик ПО / QA Engineer,Самара,40000.0,130000.0,RUR,2022-12-01T00:38:07+0300
Специалист,Оренбург,52000.0,,RUR,2022-12-01T09:12:50+0300
Веб-дизайнер,Уфа,30000.0,100000.0,RUR,2022-12-01T02:00:51+0300
Специалист по качеству,Красноярск,45000.0,50000.0,RUR,2022-12-01T08:34:28+0300
Администратор телеграм группы (финансовые рынки),Барнаул,10000.0,25000.0,RUR,2022-12-01T11:33:24+0300
Руководитель проекта,Уфа,120000.0,,RUR,2022-12-01T08:25:19+0300
Backend разработчик (удаленно),Алматы,50000.0,100000.0,RUR,2022-12-01T08:19:37+0300
Эксперт по производству компьютерных экспертиз,Уфа,45000.0,,RUR,2022-12-01T04:37:18+0300
Инженер технической поддержки (банковское ПО),Москва,60000.0,,RUR,2022-12-01T11:00:51+0300
Заместитель главного механика (Камчатский край),Красноярск,,350000.0,RUR,2022-12-01T03:15:50+0300
Редактор в учебный центр KAMAZ,Набережные Челны,,40000.0,RUR,2022-12-01T11:56:30+0300
Графический дизайнер / Иллюстратор,Краснодар,35000.0,40000.0,RUR,2022-12-01T10:51:50+0300
Сервисный инженер / техник,Ульяновск,30000.0,50000.0,RUR,2022-12-01T07:21:34+0300
Тестировщик ПО,Новосибирск,50000.0,80000.0,RUR,2022-12-01T09:45:53+0300
Системный администратор,Тюмень,55000.0,,RUR,2022-12-01T11:40:17+0300
Программист-стажер 1С,Ташкент,200.0,,USD,2022-12-01T09:01:24+0300
Дизайнер-чертежник,Ижевск,20000.0,,RUR,2022-12-01T10:17:49+0300
Web-программист / web-разработчик,Уфа,70000.0,,RUR,2022-12-01T09:51:51+0300
Backend – JavaScript -разработчик,Караганда,650000.0,,KZT,2022-12-01T08:01:11+0300
Программист-стажер 1C,Кострома,10000.0,40000.0,RUR,2022-12-01T09:21:31+0300
Инженер технической поддержки (сервисный инженер),Кокшетау,220000.0,317000.0,KZT,2022-12-01T07:19:58+0300
Project manager/Менеджер проекта в Roicontext,Москва,60000.0,90000.0,RUR,2022-12-01T10:55:28+0300
Копирайтер,Зеленодольск (Республика Татарстан),30000.0,,RUR,2022-12-01T11:12:20+0300
Механик,Красноярск,250000.0,,RUR,2022-12-01T08:56:17+0300
Токарь,Красноярск,47000.0,,RUR,2022-12-01T10:59:17+0300
Оператор станков с ЧПУ,Тольятти,40000.0,45000.0,RUR,2022-12-01T08:58:59+0300
Системный администратор,Ташкент,5000000.0,7000000.0,UZS,2022-12-01T09:11:34+0300
Специалист технической поддержки,Барнаул,30000.0,,RUR,2022-12-01T08:26:15+0300
Заведующий автохозяйством,Иваново (Ивановская область),50000.0,70000.0,RUR,2022-12-01T08:46:32+0300
Программист 1С / Администратор 1С,Екатеринбург,50000.0,80000.0,RUR,2022-12-01T11:34:08+0300
Наладчик станков с ЧПУ,Тольятти,60000.0,70000.0,RUR,2022-12-01T08:50:45+0300
Смм менеджер,Сочи,15000.0,,RUR,2022-12-01T10:50:53+0300
Заместитель начальника управления информационно-аналитического обеспечения,Москва,80000.0,150000.0,RUR,2022-12-01T10:47:24+0300
Менеджер IT-проектов,Кемерово,60000.0,150000.0,RUR,2022-12-01T11:13:00+0300
Инженер-программист,Кемерово,50000.0,,RUR,2022-12-01T11:58:19+0300
Ученик Инженера по ремонту мелкой бытовой и электронной техники,Уфа,20000.0,40000.0,RUR,2022-12-01T10:41:55+0300
Компьютерный мастер,Новосибирск,72000.0,,RUR,2022-12-01T08:40:41+0300
Заместитель начальника управления информационной безопасности коммерческого банка,Москва,250000.0,270000.0,RUR,2022-12-01T01:11:43+0300
Специалист по информационной безопасности,Кемерово,14695.0,,RUR,2022-12-01T11:58:26+0300
Техник-наладчик оборудования с ЧПУ/Ученик,Пенза,70000.0,,RUR,2022-12-01T09:22:44+0300
Программист-разработчик 1 С,Оренбург,50000.0,50000.0,RUR,2022-12-01T09:03:39+0300
Обработчик стекла,Орел,50000.0,60000.0,RUR,2022-12-01T11:12:21+0300
Специалист по сопровождению 1С/Стажер,Барнаул,23000.0,28000.0,RUR,2022-12-01T05:07:05+0300
Слесарь-сборщик РЭА,Зеленоград,50000.0,,RUR,2022-12-01T10:21:40+0300
Инженер-программист,Иваново (Ивановская область),60000.0,,RUR,2022-12-01T09:17:12+0300
Системный администратор в отдел автоматизации ЦОД (DevOps),Екатеринбург,120000.0,,RUR,2022-12-01T10:04:15+0300
Python backend разработчик,Москва,150000.0,170000.0,RUR,2022-12-01T10:46:06+0300
Специалист чат-поддержки,Уфа,33000.0,38000.0,RUR,2022-12-01T10:00:07+0300
Системный администратор,Йошкар-Ола,35000.0,35000.0,RUR,2022-12-01T10:05:29+0300
Инженер транспортного отдела,Ярославль,50000.0,55000.0,RUR,2022-12-01T10:41:58+0300
Токарь,Новокузнецк,40000.0,50000.0,RUR,2022-12-01T05:21:03+0300
Оператор станков с ЧПУ (резчик/закальщик/полировщик стекла),Астана,130000.0,400000.0,KZT,2022-12-01T07:42:14+0300
Оператор станков с ЧПУ (Ученик),Минск,1200.0,,BYR,2022-12-01T10:30:57+0300
"Консультант 1С (специалист технической поддержки), Западный р-н",Ростов-на-Дону,40000.0,50000.0,RUR,2022-12-01T10:39:47+0300
Специалист технической поддержки / anykey в офис,Москва,60000.0,60000.0,RUR,2022-12-01T11:32:40+0300
Full stack web developer / Веб программист,Санкт-Петербург,80000.0,,RUR,2022-12-01T11:44:18+0300
Начинающий программист 1С,Челябинск,30000.0,50000.0,RUR,2022-12-01T08:07:19+0300
Тестировщик ПО,Бердск,50000.0,80000.0,RUR,2022-12-01T09:45:53+0300
Оператор по компьютерной обработке,Караганда,123000.0,125000.0,KZT,2022-12-01T07:04:07+0300
Системный администратор,Тюмень,65000.0,,RUR,2022-12-01T11:24:13+0300
Стажер-разработчик PHP,Ульяновск,15000.0,,RUR,2022-12-01T11:34:47+0300
Инженер технической поддержки,Астана,,150000.0,KZT,2022-12-01T11:32:56+0300
BIM-менеджер (Конструкции),Москва,,195000.0,RUR,2022-12-01T09:45:35+0300
Инженер по обслуживанию систем безопасности,Каневская,50000.0,,RUR,2022-12-01T11:12:48+0300
Ведущий сетевой инженер в ЦОД,Самара,100000.0,170000.0,RUR,2022-12-01T11:46:54+0300
Аналитик,Пермь,20000.0,25000.0,RUR,2022-12-01T06:16:12+0300
Технический директор (автобизнес),Калининград,,300000.0,RUR,2022-12-01T10:28:09+0300
Автомеханик/автослесарь/автоэлектрик,Тула,50000.0,120000.0,RUR,2022-12-01T11:20:27+0300
Копирайтер,Смоленск,25000.0,,RUR,2022-12-01T09:47:06+0300
Рабочий по комплексному обслуживанию зданий (Брянск ул. Горбатова18),Брянск,,30555.0,RUR,2022-12-01T11:00:32+0300
Senior QA engineer (Mobile),Москва,250000.0,,RUR,2022-12-01T11:05:14+0300
Level Designer (дизайнер уровней мобильной RTS),Курск,35000.0,,RUR,2022-12-01T11:55:41+0300
Ведущий сетевой инженер в ЦОД,Нижний Новгород,100000.0,170000.0,RUR,2022-12-01T11:46:54+0300
Специалист по ТЗИ и компьютерной безопасности,Москва,80000.0,,RUR,2022-12-01T09:10:04+0300
Оператор станка,Хабаровск,50000.0,,RUR,2022-12-01T03:52:31+0300
Оператор станка,Нижний Новгород,30000.0,40000.0,RUR,2022-12-01T11:24:17+0300
Программист 1 категории,Тверь,100000.0,,RUR,2022-12-01T09:16:06+0300
Механик по специализированной технике,Благовещенск (Амурская область),148000.0,165000.0,RUR,2022-12-01T08:39:11+0300
Специалист транспортного отдела,Зеленоград,50000.0,50000.0,RUR,2022-12-01T11:38:39+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),Самара,150000.0,,RUR,2022-12-01T07:40:44+0300
Специалист по технической поддержке,Алматы,60000.0,200000.0,KZT,2022-12-01T09:52:15+0300
